epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1271.99,0.61348,0.76945,1.23439,0.91272,0.6915,0.79854,0.70133,0.55859,0.63171,1.26945,0.0003862,0.0003862,0.0003862
64,1291.84,0.56795,0.73291,1.20904,0.9282,0.62766,0.77253,0.66266,0.5948,0.83592,1.29906,0.0003763,0.0003763,0.0003763
65,1312.09,0.59441,0.75503,1.22586,0.72052,0.78826,0.80019,0.64885,0.5969,0.73749,1.33508,0.0003664,0.0003664,0.0003664
66,1332.02,0.57167,0.76123,1.19826,0.90044,0.71443,0.7462,0.65377,0.61283,0.64983,1.33359,0.0003565,0.0003565,0.0003565
67,1352.17,0.56187,0.75954,1.20294,0.92678,0.70032,0.74865,0.63423,0.5774,0.66927,1.30808,0.0003466,0.0003466,0.0003466
68,1371.96,0.56631,0.76639,1.2,0.67348,0.77752,0.7756,0.60932,0.77772,0.96013,1.49866,0.0003367,0.0003367,0.0003367
69,1392.4,0.56174,0.76539,1.19299,0.86999,0.71563,0.79346,0.62577,0.69542,0.76924,1.38441,0.0003268,0.0003268,0.0003268
70,1412.24,0.54545,0.69609,1.18351,0.9087,0.66666,0.72682,0.61215,0.61268,0.94329,1.29488,0.0003169,0.0003169,0.0003169
71,1432.58,0.56282,0.72556,1.19503,0.89216,0.70623,0.728,0.63599,0.61064,0.75159,1.29187,0.000307,0.000307,0.000307
72,1452.81,0.53788,0.70455,1.17826,0.96053,0.65568,0.73438,0.64596,0.61139,0.78007,1.26321,0.0002971,0.0002971,0.0002971
73,1472.64,0.53601,0.69345,1.18034,0.88805,0.69416,0.72978,0.64279,0.61363,0.74235,1.28312,0.0002872,0.0002872,0.0002872
74,1492.92,0.55406,0.68514,1.17887,0.88106,0.70044,0.7386,0.66498,0.55117,0.71432,1.21731,0.0002773,0.0002773,0.0002773
75,1512.65,0.54098,0.65418,1.18355,0.89026,0.71968,0.74343,0.64813,0.65712,0.7574,1.37757,0.0002674,0.0002674,0.0002674
76,1532.87,0.50889,0.66781,1.1454,0.93342,0.69637,0.76727,0.65102,0.62586,0.69932,1.33634,0.0002575,0.0002575,0.0002575
77,1552.6,0.53389,0.63848,1.17298,0.94986,0.68559,0.8071,0.65733,0.63968,0.65436,1.33602,0.0002476,0.0002476,0.0002476
78,1572.91,0.52151,0.66296,1.17653,0.91303,0.69843,0.74925,0.67124,0.57582,0.677,1.27897,0.0002377,0.0002377,0.0002377
79,1592.7,0.50367,0.62166,1.15651,0.93905,0.68415,0.78519,0.69079,0.52785,0.63353,1.21921,0.0002278,0.0002278,0.0002278
80,1612.89,0.53198,0.66036,1.15883,0.92727,0.66713,0.73994,0.62911,0.60121,0.65346,1.25684,0.0002179,0.0002179,0.0002179
81,1633.05,0.50848,0.64331,1.16762,0.88811,0.70767,0.73419,0.65824,0.60985,0.72308,1.25532,0.000208,0.000208,0.000208
82,1653.03,0.50628,0.63109,1.15975,0.94823,0.64244,0.73165,0.65264,0.59185,0.71884,1.26434,0.0001981,0.0001981,0.0001981
83,1673.37,0.51834,0.60202,1.16978,0.92971,0.6904,0.73086,0.64143,0.55784,0.65093,1.25108,0.0001882,0.0001882,0.0001882
84,1693.25,0.51359,0.6306,1.16397,0.937,0.67654,0.73346,0.65072,0.54198,0.72182,1.25832,0.0001783,0.0001783,0.0001783
85,1713.25,0.49743,0.58924,1.15139,0.94112,0.70767,0.75151,0.66141,0.56463,0.7359,1.23653,0.0001684,0.0001684,0.0001684
86,1733.09,0.47531,0.58069,1.13023,0.94898,0.67788,0.75975,0.67459,0.58143,0.66195,1.25443,0.0001585,0.0001585,0.0001585
